num,open,high,low,close,Volume,ma5,ma10,ma20,ma60,ma120,gain,loss,sumgain,sumloss,avggain,avgloss,rs,rsi,EMA12,EMA26,macd
9956,43548.03,43925,43438.52,43536.47,392413752.2,43739.854,43763.63,44636.5635,46819.77617,47304.74117,11.57,0,2476.49,2349.12,213.615038,158.3193661,1.349266633,57.43352475,42986.65257,42933.7281,52.92447159
9955,43852.01,43971.35,43210.65,43547.88,560486985.8,43797.628,43868.241,44809.08,46905.00367,47341.09075,303.98,0,2780.47,2064.76,220.0696781,147.0108399,1.496962253,59.95133692,43119.78448,43050.75312,69.031362
9954,43416.21,43966.09,42910,43852.02,1344502693,43786.826,43969.468,44979.3255,46984.49683,47376.11217,0,435.8,2671.13,2500.56,204.3504154,167.6386371,1.218993539,54.93452403,43165.38841,43141.74193,23.6464801
9953,44040.82,44117.6,43222,43416.21,860400127.8,43911.008,44133.397,45161.14,47070.78383,47414.39625,624.61,0,3259.75,2500.56,234.3689572,155.6644487,1.505603618,60.08945738,43300.07019,43230.23519,69.83499883
9952,43842.2,44260,43729.51,44040.82,494354106.2,43809.844,44211.888,45332.31,47147.86633,47447.2315,0,198.62,3259.75,2290.74,217.6283174,158.7327024,1.371036429,57.82435108,43383.47478,43340.22795,43.24682237
9951,43836.9,44108.83,43573.41,43841.6,735761847.7,43787.406,44391.818,45519.857,47222.54,47482.24925,0,5.3,3259.75,1972.82,202.0834376,147.7732236,1.367524052,57.76178075,43453.2325,43417.06183,36.17067306
9950,43798,44024.16,43400,43836.9,1057658936,43938.854,44581.107,45697.5115,47290.5655,47519.07392,0,38.9,3259.75,1878.77,187.6489063,139.9965648,1.34038222,57.27193655,43506.27366,43478.77084,27.50282022
9949,44037.12,44122.23,43701,43798.2,926082630,44152.11,44766.867,45890.7325,47354.68217,47552.75725,239.12,0,3246.91,1878.77,191.325413,129.9968102,1.471770059,59.54316235,43587.94233,43545.59561,42.34671683
9948,43535,44148.84,43143,44037.11,1715983402,44355.786,44918.447,46058.076,47413.90117,47583.37542,0,502.12,3041.81,2380.89,177.6593121,156.577038,1.134644737,53.15379731,43579.79735,43584.02067,-4.223319379
9947,43730.01,44050.55,42467.86,43535,3585328570,44613.932,45160.147,46259.113,47478.18267,47615.56442,195.01,0,3236.82,2247.06,178.8986469,145.3929639,1.230449137,55.16598055,43602.90699,43590.92421,11.98277534
9946,44594.14,44637.66,43200,43731.44,3093342230,44996.23,45509.497,46455.4435,47537.73433,47647.2985,864.13,0,4100.95,1180.74,227.8437436,135.0077522,1.687634524,62.79256011,43755.40438,43676.33166,79.07271873
